Code,Hotel,Location,Rating,TotalReviews,ReviewsScraped,NewThisRun,LatestReview,LastUpdated
RWK,The Raweekanlaya Bangkok Wellness Cuisine resort,Bangkok,4.5,,0,0,,2026-06-24 04:16
TSB,The Tantawan Hotel Surawong Bangkok,Bangkok,3.9,,150,0,ทุกอย่างดีเยี่ยม ห้องพักสวย สะอาด สิ่งอำนวยความสะดวกครบถ้วน พนักงานสุภาพ สิ่งที่ไม่ประทับใจคืออาหารเช้า ที่นี่อาหารเช้าไม่ได้เป็นบุฟเฟ่ มีเมนูให้เลือกเพียง 4-5 อย่าง ไม่มีอาหารสำหรับคนเป็นมังสวิรัติ ถามว่าจะกลับมาพักที่นี่อีกไหม กลับมาค่ะแต่จะไม่จองห้องพร้อมอาหารเช้าเหมือนครั้งนี้,2026-06-24 04:16
PLB,Imm Hotel Ladprao Bangkapi Bangkok,Bangkok,3.9,,150,0,จองผ่านแอป ตอนแรกได้เป็นเตียงเดี่ยว แต่ขอเปลี่ยนเป็นเตียงคู่ก็ ได้รับการเปลี่ยนให้ ห้องกว้างขวาง เตียงนอนสบาย ในส่วนของ เบรคฟาสต์อยู่ชั้น 6 อาหารก็ ถือว่าใช้ได้ ชอบที่สุดคือทำเลดี ใกล้ตลาด และเดินไปเดอะมอลล์บางกะปิใกล้ๆ,2026-06-24 04:16
IRH,Imperial River House Resort,Chiang Rai,4.4,,150,1,โรงแรมแจ้งเวลาเช็กอินไว้ที่ 14.00 น. ซึ่งเป็นเหตุผลที่ตัดสินใจเดินทางมาถึงตามเวลาดังกล่าว อย่างไรก็ตาม เมื่อมาถึงแล้วได้รับแจ้งว่าห้องพักยังทำความสะอาดไม่เรียบร้อย ทำให้ต้องรอเพิ่มเติม  เข้าใจว่าการดูแลความสะอาดเป็นสิ่งสำคัญ แต่อยากให้ทางโรงแรมบริหารจัดการเวลาให้สอดคล้องกับเวลาที่แจ้งไว้ เพื่อประสบก,2026-06-24 04:16
IMH,Imperial Mae Hongsorn Hotel,Mae Hong Son,3.9,,0,0,,2026-06-24 04:16
IMC,Imperial Chiang Mai Resort and Sport Club,Chiang Mai,4.1,,150,0,โรงแรมเก่ามากๆเหมือนไม่ได้ปรับปรุงมาตั้งแต่สมัยคุณปู่ คือทุกอย่างในห้องเก่าหมด มีราบนเพดาน โซฟาเก่ามากๆมีรอยเลอะ  มดเยอะด้วย ซื้อมะม่วงอบแห้งมา ทานไปแค่คำเดียว แล้วเข้าไปอาบน้ำไม่ถึงครึ่งชั่วโมงเลย ออกมามดขึ้นเยอะมากๆแบบไม่สามารถทานต่อได้  Wi-Fi ช้าสุดๆ  แฟนไม่สบายเลยสั่งไก่ต้มมา ไก่ต้มมาไม่สุกข้างใ,2026-06-24 04:16
CHH,CH Hotel Chiang Mai,Chiang Mai,3.8,,150,0,"ห้องพักสะอาดกว้างขวางมาก บุพเฟ่อาหารเช้าบริการ ห้องอาหารสะอาด มีสระว่ายน้ำ ราคาคุ้มค่า สะดวกต่อการเดินทาง ด้านหลังที่พักมีตลาดอนุสาร ตลาดใหญ่มาก เสื้อผ้า อาหาร ครบจบ หน้าปากทางเข้ามี 7-11 ร้านสะดวกซื้อ  💰ราคาห้องพัก :คืนละ 1,385 บาท  📺สิ่งอำนวยความสะดวก: ผ้าเช็ดตัว มีทีวี เครื่องทำน้ำอุ่น ที่วางกระเ",2026-06-24 04:16
ITC,Imm Hotel Thapae,Chiang Mai,3.9,,150,0,ที่ตั้งอยู่หน้าประตูท่าแพ ข้ามถนน 2 เลยก็ถึงเลย ดีงาม สะดวกดีมาก  ที่จอดรถมี 2 จุดอยู่ด้านหลังโรงแรม  ห้องพักดี สะอาด ด้านล่างเป็นโถงมีโซฟาให้นั่ง และตอนเช้าก็เป็นที่ทานบุฟเฟ่ต์อาหารเช้า  นอกโรงแรมด้านข้าง ข้างนึงคือ กาแฟพันธุ์ไทย อีกข้างนึงคือ McDonald ร้านยาก็อยู่ใกล้ Boots ก็มี Misue ห่างไปนิดเดี,2026-06-24 04:16
IPK,Imperial Phukaew Hill Resort Petchabun,Petchabun,,,0,0,,2026-06-24 04:16
IPL,Imperial Hotel Convention Center Phitsanulok,Phitsanulok,4.0,,150,0,ดูจากสถานที่ก็เป็นโรงแรมที่มีอายุอานามนานมากทั้งพื้นถนนหลังคาสิ่งปลูกสร้างตัวอาคารต่างๆรวมถึงห้องพักแต่มีการ renovate บางจุดให้ดูใหม่ขึ้นมาถือว่าโดยรวมไม่น่าเกลียดเหมาะกับการจัดเป็นงานสัมมนาของหน่วยงานต่างๆได้ดีมีอุปกรณ์พร้อม,2026-06-24 04:16
IMK,Imperial Hotel Convention Center Korat,Nakhon Ratchasima,4.3,,150,0,เช็คอินเข้าพักที่ห้องชั้น 2 ปรากฏว่าแอร์เสียงดังมากพอตามช่างมาดู คือลูกปืนเสียต้องเปลี่ยนใหม่ เลยสงสัยว่าไม่เช็คสภาพห้องก่อนให้ลูกค้าเลยหรอ แต่โรงแรม take action ไวคือเปลี่ยนห้องให้ทันทีเป็นชั้น 8 แต่ระบบน้ำอุ่นน้ำเย็นไม่ดีค่ะเปิดติดบ้างไม่ติดบ้าง ครีมอาบน้ำก็หมดไม่เติมให้เต็มขวด ภายในห้องนอนสิ่งอำน,2026-06-24 04:16
